S,p,pop_coberta,pop_descoberta,cobertura_pct,lp_inteiro,obj_lp,tempo_s,instalacoes
10,1,425,215,66.4,True,,0.029,[4]
10,2,502,138,78.4,True,,0.0053,"[4, 22]"
10,3,548,92,85.6,True,,0.0029,"[4, 22, 36]"
10,4,581,59,90.8,True,,0.0034,"[4, 17, 36, 38]"
10,5,609,31,95.2,True,,0.0028,"[8, 10, 17, 27, 36]"
10,6,625,15,97.7,True,,0.0033,"[2, 17, 21, 27, 36, 55]"
10,7,633,7,98.9,True,,0.005,"[2, 17, 20, 27, 36, 53, 55]"
10,8,638,2,99.7,True,,0.0131,"[4, 17, 20, 27, 30, 36, 53, 55]"
10,9,640,0,100.0,True,,0.0024,"[4, 17, 21, 25, 27, 36, 43, 50, 55]"
12,1,457,183,71.4,True,,0.008,[3]
12,2,533,107,83.3,True,,0.0031,"[10, 30]"
12,3,574,66,89.7,True,,0.008,"[10, 30, 36]"
12,4,610,30,95.3,True,,0.0062,"[10, 12, 36, 45]"
12,5,632,8,98.8,True,,0.0043,"[10, 14, 29, 36, 55]"
12,6,638,2,99.7,True,,0.0026,"[20, 23, 27, 36, 47, 55]"
12,7,640,0,100.0,True,,0.0029,"[13, 14, 20, 24, 29, 52, 55]"
15,1,515,125,80.5,True,,0.0064,[7]
15,2,593,47,92.7,True,,0.003,"[6, 22]"
15,3,625,15,97.7,True,,0.0054,"[22, 25, 43]"
15,4,638,2,99.7,True,,0.0039,"[22, 25, 37, 55]"
15,5,640,0,100.0,True,,0.0055,"[22, 36, 51, 53, 55]"
19,1,567,73,88.6,True,,0.0035,[31]
19,2,629,11,98.3,True,,0.0029,"[32, 41]"
19,3,640,0,100.0,True,,0.004,"[26, 32, 37]"
20,1,573,67,89.5,True,,0.0034,[7]
20,2,631,9,98.6,True,,0.003,"[16, 41]"
20,3,640,0,100.0,True,,0.0031,"[16, 25, 52]"
